"pid","location","ggmap","census"
1,"51 SOUTH END RD","cec82","dk762"
2,"75 SOUTH END RD","cec82","dk762"
3,"199 SOUTH END RD","cec82","dk762"
4,"11 URIAH ST","cec82","dk762"
5,"181 SOUTH END RD","cec82","dk762"
6,"169 SOUTH END RD","cec82","dk762"
7,"173 SOUTH END RD","cec82","dk762"
8,"165 SOUTH END RD","cec82","dk762"
9,"161 SOUTH END RD","cec82","dk762"
10,"157 SOUTH END RD","cec82","dk762"
11,"153 SOUTH END RD","cec82","dk762"
12,"SOUTH END RD","cec82","dk762"
13,"107 SOUTH END RD","cec82","dk762"
14,"101 SOUTH END RD","cec82","dk762"
15,"95 SOUTH END RD","cec82","dk762"
16,"SOUTH END RD","cec82","dk762"
17,"91 SOUTH END RD","cec82","dk762"
18,"103 SOUTH END RD","cec82","dk762"
19,"SOUTH END RD","cec82","dk762"
20,"URIAH ST","cec82","dk762"
21,"SOUTH END RD","cec82","dk762"
22,"SOUTH END RD","cec82","dk762"
23,"5 DOUGLASS AV","cec82","dk762"
24,"11 DOUGLASS AV","cec82","dk762"
25,"17 DOUGLASS AV","cec82","dk762"
26,"23 DOUGLASS AV","cec82","dk762"
27,"29 DOUGLASS AV","cec82","dk762"
28,"32 URIAH ST","cec82","dk762"
29,"24 URIAH ST","cec82","dk762"
30,"20 URIAH ST","cec82","dk762"
31,"1 TOWNSEND AV","cec82","dk762"
32,"1 TOWNSEND AV #A","cec82","dk762"
33,"1 TOWNSEND AV #B","cec82","dk762"
34,"9 TOWNSEND AV","cec82","dk762"
35,"17 JOHNSTON ST","cec82","dk762"
36,"30 DOUGLASS AV","cec82","dk762"
37,"24 DOUGLASS AV","cec82","dk762"
38,"20 DOUGLASS AV","cec82","dk762"
39,"3 TOWNSEND AV","cec82","dk762"
40,"3A TOWNSEND AV","cec82","dk762"
41,"5 TOWNSEND AV","cec82","dk762"
42,"7 TOWNSEND AV","cec82","dk762"
43,"MORRIS CSWY","cec82","dk762"
44,"URIAH ST","cec82","dk762"
45,"MORRIS CSWY","cec82","dk762"
46,"25 TOWNSEND AV","cec82","dk762"
47,"19 MORRIS CSWY","cec82","dk762"
48,"25 MORRIS CSWY","cec82","dk762"
49,"31 MORRIS CSWY","cec82","dk762"
50,"39 MORRIS CSWY","cec82","dk762"
51,"43 MORRIS CSWY","cec82","dk762"
52,"49 MORRIS CSWY","cec82","dk762"
53,"11 TOWNSEND AV","cec82","dk762"
54,"13 TOWNSEND AV","cec82","dk762"
55,"15 TOWNSEND AV","cec82","dk762"
56,"17 TOWNSEND AV","cec82","dk762"
57,"19 TOWNSEND AV","cec82","dk762"
58,"21 TOWNSEND AV","cec82","dk762"
59,"1209 DEAN ST","cec82","dk762"
60,"1227 DEAN ST","cec82","dk762"
61,"1237 DEAN ST","cec82","dk762"
62,"1251 DEAN ST","cec82","dk762"
63,"DEAN ST","cec82","dk762"
64,"1271 DEAN ST","cec82","dk762"
65,"DEAN ST","cec82","dk762"
66,"1285 DEAN ST","cec82","dk762"
67,"1305 DEAN ST","cec82","dk762"
68,"1327 DEAN ST","cec82","dk762"
69,"191 BURR ST","cec82","dk762"
70,"269 BURR ST","cec82","dk762"
71,"353 BURR ST","cec82","dk762"
72,"425 DODGE AV","cec82","dk762"
73,"392 BURR ST","cec82","dk762"
74,"400 BURR ST #1","cec82","dk762"
75,"400 BURR ST #2","cec82","dk762"
76,"400 BURR ST #3","cec82","dk762"
77,"396 BURR ST #4","cec82","dk762"
78,"400 BURR ST #5","cec82","dk762"
79,"400 BURR ST #6","cec82","dk762"
80,"400 BURR ST #7","cec82","dk762"
81,"400 BURR ST #8","cec82","dk762"
82,"400 BURR ST #9","cec82","dk762"
83,"392 BURR ST","cec82","dk762"
84,"384 BURR ST","cec82","dk762"
85,"374 BURR ST","cec82","dk762"
86,"366 BURR ST","cec82","dk762"
87,"360 BURR ST","cec82","dk762"
88,"354 BURR ST","cec82","dk762"
89,"348 BURR ST","cec82","dk762"
90,"344 BURR ST","cec82","dk762"
91,"342 BURR ST","cec82","dk762"
92,"340 BURR ST","cec82","dk762"
93,"336 BURR ST","cec82","dk762"
94,"330 BURR ST","cec82","dk762"
95,"320 BURR ST","cec82","dk762"
96,"310 BURR ST","cec82","dk762"
97,"175 TOWNSEND TER","cec82","dk762"
98,"155 TOWNSEND TER","cec82","dk762"
99,"147 TOWNSEND TER","cec82","dk762"
100,"135 TOWNSEND TER","cec82","dk762"
101,"215 HYDE ST","cec82","dk762"
102,"223 HYDE ST","cec82","dk762"
103,"235 HYDE ST","cec82","dk762"
104,"118 TOWNSEND TER","cec82","dk762"
105,"126 TOWNSEND TER","cec82","dk762"
106,"132 TOWNSEND TER","cec82","dk762"
107,"140 TOWNSEND TER","cec82","dk762"
108,"144 TOWNSEND TER","cec82","dk762"
109,"150 TOWNSEND TER","cec82","dk762"
110,"158 TOWNSEND TER","cec82","dk762"
111,"164 TOWNSEND TER","cec82","dk762"
112,"168 TOWNSEND TER","cec82","dk762"
113,"172 TOWNSEND TER","cec82","dk762"
114,"176 TOWNSEND TER","cec82","dk762"
115,"400 BURR ST","cec82","dk762"
116,"393 BURR ST","cec82","dk762"
117,"15 HOLMES ST","cec82","dk762"
118,"25 HOLMES ST","cec82","dk762"
119,"437 BURR ST","cec82","dk762"
120,"427 BURR ST","cec82","dk762"
121,"419 BURR ST","cec82","dk762"
122,"409 BURR ST","cec82","dk762"
123,"401 BURR ST","cec82","dk762"
124,"18 HOLMES ST","cec82","dk762"
125,"BURR ST","cec82","dk762"
126,"402 BURR ST","cec82","dk762"
127,"404 BURR ST","cec82","dk762"
128,"412 BURR ST","cec82","dk762"
129,"416 BURR ST","cec82","dk762"
130,"420 BURR ST","cec82","dk762"
131,"434 BURR ST","cec82","dk762"
132,"440 BURR ST","cec82","dk762"
133,"408 BURR ST","cec82","dk762"
134,"428 BURR ST","cec82","dk762"
135,"44 LAURA LA","cec82","dk762"
136,"675 TOWNSEND AV #116","cec82","dk762"
137,"675 TOWNSEND AV #117","cec82","dk762"
138,"675 TOWNSEND AV #118","cec82","dk762"
139,"675 TOWNSEND AV #119","cec82","dk762"
140,"675 TOWNSEND AV #120","cec82","dk762"
141,"675 TOWNSEND AV #121","cec82","dk762"
142,"675 TOWNSEND AV #132","cec82","dk762"
143,"675 TOWNSEND AV #133","cec82","dk762"
144,"675 TOWNSEND AV #134","cec82","dk762"
145,"675 TOWNSEND AV #135","cec82","dk762"
146,"675 TOWNSEND AV #136","cec82","dk762"
147,"675 TOWNSEND AV #137","cec82","dk762"
148,"675 TOWNSEND AV #138","cec82","dk762"
149,"675 TOWNSEND AV #139","cec82","dk762"
150,"675 TOWNSEND AV #140","cec82","dk762"
151,"675 TOWNSEND AV #141","cec82","dk762"
152,"675 TOWNSEND AV #142","cec82","dk762"
153,"675 TOWNSEND AV #143","cec82","dk762"
154,"675 TOWNSEND AV #154","cec82","dk762"
155,"675 TOWNSEND AV #155","cec82","dk762"
156,"675 TOWNSEND AV #156","cec82","dk762"
157,"675 TOWNSEND AV #157","cec82","dk762"
158,"675 TOWNSEND AV #158","cec82","dk762"
159,"675 TOWNSEND AV #159","cec82","dk762"
160,"675 TOWNSEND AV #160","cec82","dk762"
161,"675 TOWNSEND AV #161","cec82","dk762"
162,"675 TOWNSEND AV #162","cec82","dk762"
163,"675 TOWNSEND AV #163","cec82","dk762"
164,"675 TOWNSEND AV #164","cec82","dk762"
165,"675 TOWNSEND AV #165","cec82","dk762"
166,"675 TOWNSEND AV #166","cec82","dk762"
167,"675 TOWNSEND AV #167","cec82","dk762"
168,"675 TOWNSEND AV #168","cec82","dk762"
169,"675 TOWNSEND AV #169","cec82","dk762"
170,"675 TOWNSEND AV #170","cec82","dk762"
171,"675 TOWNSEND AV #171","cec82","dk762"
172,"675 TOWNSEND AV #178","cec82","dk762"
173,"675 TOWNSEND AV #179","cec82","dk762"
174,"675 TOWNSEND AV #180","cec82","dk762"
175,"675 TOWNSEND AV #181","cec82","dk762"
176,"675 TOWNSEND AV #190","cec82","dk762"
177,"675 TOWNSEND AV #191","cec82","dk762"
178,"675 TOWNSEND AV #192","cec82","dk762"
179,"675 TOWNSEND AV #193","cec82","dk762"
180,"675 TOWNSEND AV #186","cec82","dk762"
181,"675 TOWNSEND AV #187","cec82","dk762"
182,"675 TOWNSEND AV #188","cec82","dk762"
183,"675 TOWNSEND AV #189","cec82","dk762"
184,"675 TOWNSEND AV #182","cec82","dk762"
185,"675 TOWNSEND AV #183","cec82","dk762"
186,"675 TOWNSEND AV #184","cec82","dk762"
187,"675 TOWNSEND AV #185","cec82","dk762"
188,"675 TOWNSEND AV #176","cec82","dk762"
189,"675 TOWNSEND AV #177","cec82","dk762"
190,"675 TOWNSEND AV #172","cec82","dk762"
191,"675 TOWNSEND AV #173","cec82","dk762"
192,"675 TOWNSEND AV #174","cec82","dk762"
193,"675 TOWNSEND AV #175","cec82","dk762"
194,"675 TOWNSEND AV #152","cec82","dk762"
195,"675 TOWNSEND AV #153","cec82","dk762"
196,"675 TOWNSEND AV #148","cec82","dk762"
197,"675 TOWNSEND AV #149","cec82","dk762"
198,"675 TOWNSEND AV #150","cec82","dk762"
199,"675 TOWNSEND AV #151","cec82","dk762"
200,"675 TOWNSEND AV #144","cec82","dk762"
201,"675 TOWNSEND AV #145","cec82","dk762"
202,"675 TOWNSEND AV #146","cec82","dk762"
203,"675 TOWNSEND AV #147","cec82","dk762"
204,"675 TOWNSEND AV #128","cec82","dk762"
205,"675 TOWNSEND AV #129","cec82","dk762"
206,"675 TOWNSEND AV #130","cec82","dk762"
207,"675 TOWNSEND AV #131","cec82","dk762"
208,"675 TOWNSEND AV #126","cec82","dk762"
209,"675 TOWNSEND AV #127","cec82","dk762"
210,"675 TOWNSEND AV #122","cec82","dk762"
211,"675 TOWNSEND AV #123","cec82","dk762"
212,"675 TOWNSEND AV #124","cec82","dk762"
213,"675 TOWNSEND AV #125","cec82","dk762"
214,"675 TOWNSEND AV #112","cec82","dk762"
215,"675 TOWNSEND AV #113","cec82","dk762"
216,"675 TOWNSEND AV #114","cec82","dk762"
217,"675 TOWNSEND AV #115","cec82","dk762"
218,"675 TOWNSEND AV #108","cec82","dk762"
219,"675 TOWNSEND AV #109","cec82","dk762"
220,"675 TOWNSEND AV #110","cec82","dk762"
221,"675 TOWNSEND AV #111","cec82","dk762"
222,"675 TOWNSEND AV #104","cec82","dk762"
223,"675 TOWNSEND AV #105","cec82","dk762"
224,"675 TOWNSEND AV #106","cec82","dk762"
225,"675 TOWNSEND AV #107","cec82","dk762"
226,"675 TOWNSEND AV #101","cec82","dk762"
