"pid","yearbuilt","location","totval","bedrooms","bathrooms","halfbaths","multibuilding","zone","neighborhood","landval","acres","exval","address"
"1",NA,"51 SOUTH END RD",1256500,NA,NA,NA,FALSE,"AIRP","FLY","1,256,500",3.8,0,"165 CHURCH ST, NEW HAVEN, CT 06510"
"2",NA,"75 SOUTH END RD",562100,NA,NA,NA,FALSE,"RS2","FLY","562,100",1.7,0,"165 CHURCH ST, NEW HAVEN, CT 06510"
"3",1950,"199 SOUTH END RD",208100,3,2,1,FALSE,"RS2","0101","59,700",0.25,3400,"134 PEARL AVE, HAMDEN, CT 06514"
"4",1989,"11 URIAH ST",202900,3,2,1,FALSE,"RS2","0101","57,400",0.18,0,"11 URIAH ST, NEW HAVEN, CT 06512"
"5",1945,"181 SOUTH END RD",164300,3,1,0,FALSE,"RS2","0101","62,300",0.36,0,"181 SOUTH END RD, NEW HAVEN, CT 06512"
"6",1940,"169 SOUTH END RD",150400,3,1,0,FALSE,"RS2","0101","61,400",0.32,0,"169 SOUTH END ROAD, NEW HAVEN, CT 06512"
"7",1986,"173 SOUTH END RD",184700,5,2,0,FALSE,"RS2","0101","62,100",0.35,0,"173 SOUTH END RD, NEW HAVEN, CT 06512"
"8",1940,"165 SOUTH END RD",135800,3,1,1,FALSE,"RS2","0101","57,000",0.17,0,"165 SOUTH END RD, NEW HAVEN, CT 06511"
"9",1930,"161 SOUTH END RD",137100,2,1,0,FALSE,"RS2","0101","55,700",0.14,0,"161  SOUTH END RD, NEW HAVEN, CT 06512"
"10",1900,"157 SOUTH END RD",133600,1,1,0,FALSE,"RS2","0101","58,200",0.2,0,"50 FITCH ST STE 206B, NEW HAVEN, CT 06515"
"11",NA,"153 SOUTH END RD",59300,NA,NA,NA,FALSE,"RS2","0101","59,300",0.24,0,"165 CHURCH ST, NEW HAVEN, CT 06510"
"12",NA,"SOUTH END RD",211700,NA,NA,NA,FALSE,"RS2","FLY","211,700",0.09,0,"165 CHURCH ST, NEW HAVEN, CT 06510"
"13",NA,"107 SOUTH END RD",63300,NA,NA,NA,FALSE,"RS2","0101","63,300",0.43,0,"165 CHURCH ST, NEW HAVEN, CT 06510"
"14",NA,"101 SOUTH END RD",55700,NA,NA,NA,FALSE,"RS2","0101","55,700",0.14,0,"165 CHURCH ST, NEW HAVEN, CT 06510"
"15",NA,"95 SOUTH END RD",59900,NA,NA,NA,FALSE,"RS2","0101","59,900",0.26,0,"165 CHURCH ST, NEW HAVEN, CT 06510"
"16",NA,"SOUTH END RD",2700,NA,NA,NA,FALSE,"RS2","0101","2,700",0.03,0,"165 CHURCH ST, NEW HAVEN, CT 06510"
"17",NA,"91 SOUTH END RD",63400,NA,NA,NA,FALSE,"RS2","0101","63,400",0.43,0,"165 CHURCH ST, NEW HAVEN, CT 06510"
"18",NA,"103 SOUTH END RD",60700,NA,NA,NA,FALSE,"RS2","0101","60,700",0.29,0,"165 CHURCH ST, NEW HAVEN, CT 06510"
"19",NA,"SOUTH END RD",70200,NA,NA,NA,FALSE,"RS2","0101","70,200",0.99,0,"165 CHURCH ST, NEW HAVEN, CT 06510"
"20",NA,"URIAH ST",2661800,NA,NA,NA,FALSE,"AIRPORT","FLY","2,661,800",8.05,0,"165 CHURCH ST, NEW HAVEN, CT 06510"
"21",NA,"SOUTH END RD",359400,NA,NA,NA,FALSE,"AIRPORT","FLY","359,400",1,0,"165 CHURCH ST, NEW HAVEN, CT 06510"
"22",NA,"SOUTH END RD",826700,NA,NA,NA,FALSE,"AIRPORT","FLY","826,700",2.5,0,"165 CHURCH ST, NEW HAVEN, CT 06510"
