"","pid","yearbuilt"
"1","1",""
"2","10","1900"
"3","100","1965"
"4","1000","1920"
"5","10000","1900"
"6","10001","1900"
"7","10002",""
"8","10003",""
"9","10004","1900"
"10","10005","1900"
"11","10006","1900"
"12","100062","2000"
"13","10007","1900"
"14","10008","1900"
"15","100082",""
"16","10009","1900"
"17","1001","1870"
"18","10010","1989"
"19","100102","2000"
"20","10011","1900"
"21","10012","1900"
"22","100123","2001"
"23","10013","1900"
"24","10014","1900"
"25","10015",""
"26","10016",""
"27","100163","2000"
"28","100164","2000"
"29","10017","1900"
"30","10018","1900"
"31","100182","2000"
"32","100183","1974"
"33","10019","1900"
"34","1002","1930"
"35","10020","1900"
"36","100202","2000"
"37","10021","1900"
"38","10022","1900"
"39","10023","1900"
"40","10024","1900"
"41","100242","2002"
"42","100243","2002"
"43","10025",""
"44","10026","1910"
"45","100262","2001"
"46","10027","1940"
"47","10028",""
"48","100282","2001"
"49","100283","2001"
"50","10029","1955"
"51","1003","1920"
"52","10030",""
"53","100302","2001"
"54","10031",""
"55","10032","1950"
"56","100323",""
"57","100324",""
"58","10033",""
"59","10034",""
"60","100342","1922"
"61","10035","1955"
"62","10036","1915"
"63","10037","1983"
"64","10038",""
"65","10039","1967"
"66","1004","1940"
"67","10040","1900"
"68","10041",""
"69","10042",""
"70","10043","1952"
"71","10044","1984"
"72","100442","2000"
"73","10045","1984"
"74","10046","1984"
"75","100462","2000"
"76","100463","2001"
"77","100464","2001"
"78","100465","2001"
"79","10047","1984"
"80","10048","1900"
"81","100482","2002"
"82","100483","2002"
"83","100484","2002"
"84","100485","2002"
"85","100486","2002"
"86","10049","1900"
"87","1005","1900"
"88","10050","1900"
"89","100502","2002"
"90","10051","1893"
"91","10052","1923"
"92","100522","2002"
"93","100523","2002"
"94","100524","2002"
"95","100525","2002"
"96","100526","2002"
"97","100527","2002"
"98","10053",""
"99","10054",""
"100","100542","2002"
"101","100543","2002"
"102","10055","1974"
"103","10056","1921"
"104","100562","2002"
"105","100563","2002"
"106","100564","2002"
"107","10057",""
"108","10058","1890"
"109","10059","1931"
"110","1006",""
"111","10060","1987"
"112","100602",""
"113","10061","1987"
"114","10062","1987"
"115","100622","1935"
"116","100623","1950"
"117","10063","1987"
"118","10064","1987"
"119","100642",""
"120","10065","1987"
"121","10066",""
"122","10067","1960"
"123","10068","1900"
"124","100682","2002"
"125","10069","1910"
"126","1007","1870"
"127","10070","1910"
"128","100702","2002"
"129","10071","1910"
"130","10072","1892"
"131","100722","2002"
"132","10073","1910"
"133","10075","1914"
"134","10076","1900"
"135","100762","2002"
"136","10077","1870"
"137","10078","1919"
"138","100782","1928"
"139","10079","1890"
"140","1008",""
"141","10080","1890"
"142","100802",""
"143","10081","1910"
"144","10082","1900"
"145","100822","2003"
"146","100823","2002"
"147","10083","1900"
"148","10084","1910"
"149","100842","2005"
"150","100843","2004"
"151","100844","2005"
"152","100846","2003"
"153","10085","1890"
"154","10086","1918"
"155","100862","2002"
"156","10087","1910"
"157","10088","1900"
"158","100882","1988"
"159","100883","1988"
"160","100884","1988"
"161","100885","1988"
"162","100886","1988"
